##########################################################################
# Copyright: (c) 2013   Mayo Foundation for Medical Education and 
# Research (MFMER). All rights reserved. MAYO, MAYO CLINIC, and the
# triple-shield Mayo logo are trademarks and service marks of MFMER.
#
# Except as contained in the copyright notice above, or as used to identify 
# MFMER as the author of this software, the trade names, trademarks, service
# marks, or product names of the copyright holder shall not be used in
# advertising, promotion or otherwise in connection with this software without
# prior written authorization of the copyright holder.
# 
# Licensed under the Apache License, Version 2.0 (the "License");
# you may not use this file except in compliance with the License.
# You may obtain a copy of the License at
# 
# http://www.apache.org/licenses/LICENSE-2.0 
# 
# Unless required by applicable law or agreed to in writing, software
# distributed under the License is distributed on an "AS IS" BASIS,
# WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
# See the License for the specific language governing permissions and 
# limitations under the License. 
################################################################################
# Adopt SecTag
medication ( s ) on discharge	5.37.106.125	discharge_medications
1 minute apgar	6.40.138.186	1_minute_apgar
10 minute apgar	6.40.138.188	10_minute_apgar
10_minute_apgar	6.40.138.188	10_minute_apgar
1_minute_apgar	6.40.138.186	1_minute_apgar		
5 minute apgar	6.40.138.187	5_minute_apgar
5_minute_apgar	6.40.138.187	5_minute_apgar
a p	13	assessment_and_plan
a p s epidural_procedure_note	2.7.4	epidural_procedure_note
a&p	13	assessment_and_plan
a/p	13	assessment_and_plan
abd	6.40.139.196.132	abdominal_exam
abd	5.39.121.144	abdominal_review
abdomen	6.40.139.196.132	abdominal_exam
abdomen	5.39.121.144	abdominal_review
abdomen (gi)	5.32.77.78	gastrointestinal_course
abdomen (gi)	6.40.139.196	gastrointestinal_exam
abdomen (gi)	13.51.157.289	gastrointestinal_plan
abdomen (gi)	5.39.121	gastrointestinal_review
abdomen gastrointestinal	6.40.139.196	gastrointestinal_exam
abdomen gastrointestinal	5.34.79.103.62	gastrointestinal_family_history
abdomen gastrointestinal	5.39.121	gastrointestinal_review
abdomen gi	5.32.77.78	gastrointestinal_course
abdomen gi	6.40.139.196	gastrointestinal_exam
abdomen gi	13.51.157.289	gastrointestinal_plan
abdomen gi	5.39.121	gastrointestinal_review
abdomen/gastrointestinal	6.40.139.196	gastrointestinal_exam
abdomen/gastrointestinal	5.34.79.103.62	gastrointestinal_family_history
abdomen/gastrointestinal	5.39.121	gastrointestinal_review
abdominal	6.40.139.196.132	abdominal_exam
abdominal	5.39.121.144	abdominal_review
abdominal angiography	6.41.149.234.162.179.108	abdominal_angiography
abdominal exam	6.40.139.196.132	abdominal_exam
abdominal examination	6.40.139.196.132	abdominal_exam
abdominal_angiography	6.41.149.234.162.179.108	abdominal_angiography
abdominal_exam	6.40.139.196.132	abdominal_exam
abdominal_review	5.39.121.144	abdominal_review
abg	6.41.146.225	abg
abuse risk	5.30.72	abuse_risk_factors
abuse risk factor	5.30.72	abuse_risk_factors
abuse risk factors	5.30.72	abuse_risk_factors
abuse_risk_factors	5.30.72	abuse_risk_factors
accucheck	6.41.144.206.152.159	blood_glucose
activity	8.43	activity
activity	6.40.139.199.139.120	activity_exam
activity exam	6.40.139.199.139.120	activity_exam
activity examination	6.40.139.199.139.120	activity_exam
activity level	5.34.78.96.45	exercise_habits
activity_exam	6.40.139.199.139.120	activity_exam
addendum	18	addendum
addendum hospital course	5.32	hospital_course
addition and correction to admission note	5.31	changes_to_admission_note
addition and or correction to admission	5.31	changes_to_admission_note
addition and or correction to the admission note	5.31	changes_to_admission_note
addition and/or correction to admission	5.31	changes_to_admission_note
addition and/or correction to the admission note	5.31	changes_to_admission_note
addition correction admission	5.31	changes_to_admission_note
addition correction admission note	5.31	changes_to_admission_note
addition or correction to the admission note	5.31	changes_to_admission_note
additional attending physician	3.10.7.11	additional_attending_physician
additional comments	25	comment
additional diagnoses	5.22.40	secondary_diagnoses
additional diagnosis	5.22.40	secondary_diagnoses
additional refer physician	3.11.10.26	additional_referring_physician
additional referring physician	3.11.10.26	additional_referring_physician
additional resident	3.10.7.12	additional_resident
additional_attending_physician	3.10.7.11	additional_attending_physician
additional_referring_physician	3.11.10.26	additional_referring_physician
additional_resident	3.10.7.12	additional_resident
additions and corrections to admission note	5.31	changes_to_admission_note
additions and/or corrections to the admission note	5.31	changes_to_admission_note
address	5.14.17	address
admission condition	5.21.37	admission_condition
admission date	5.15	admission_date
admission date	5.16.35.44	date_of_admission
admission diagnoses	5.22.44	admission_diagnosis
admission diagnosis	5.22.44	admission_diagnosis
admission exam	6.40	physical_examination
admission examination	6.40	physical_examination
admission history and physical	2.3.1	inpatient_history_and_physical
admission history physical	2.3.1	inpatient_history_and_physical
admission lab	0	laboratory_data_admission
admission laboratory	6.41.144	laboratory_data
admission laboratory data	6.41.144	laboratory_data
admission medication	5.37.106.122	admission_medications
admission medications	5.37.106.122	admission_medications
admission pe	6.40	physical_examination
admission physical exam	6.40	physical_examination
admission_condition	5.21.37	admission_condition
admission_date	5.15	admission_date
admission_diagnosis	5.22.44	admission_diagnosis
admission_medications	5.37.106.122	admission_medications
admit attending	5.15.32	admitting_attending
admit diagnoses	5.22.44	admission_diagnosis
admit diagnosis	5.22.44	admission_diagnosis
admit exam	6.40	physical_examination
admit note	2.3.1	inpatient_history_and_physical
admit service	5.15.31	service
admitted	5.16.35.44	date_of_admission
admitting attending	5.15.32	admitting_attending
admitting diagnoses	5.22.44	admission_diagnosis
admitting diagnosis	5.22.44	admission_diagnosis
admitting labs were	6.41.144	laboratory_data
admitting note	2.3.1	inpatient_history_and_physical
admitting service	5.15.31	service
admitting_attending	5.15.32	admitting_attending
adnexa	6.40.139.198.137.115.52	uterine_adnexa_exam
adrenal biopsy	6.41.153.252	adrenal_biopsy
adrenal_biopsy	6.41.153.252	adrenal_biopsy
advanced directives	5.20	advanced_directives
advanced_directives	5.20	advanced_directives
adverse reaction	5.38	allergies_and_adverse_reactions
adverse reactions	5.38	allergies_and_adverse_reactions
aerobic exercise	5.34.78.96.45	exercise_habits
affect	6.40.139.199.141.136	affect
age	5.14.14	age
age at menarche	5.35.91.109.77.57	menarche_age
age menarche	5.35.91.109.77.57	menarche_age
alcohol	5.34.78.93.35	ethanol_use
alcohol use	5.34.78.93.35	ethanol_use
all imm	5.34.79.103.66	immunologic_family_history
all imm	5.39.125	immunologic_review
all/imm	5.34.79.103.66	immunologic_family_history
all/imm	5.39.125	immunologic_review
allergic & immunologic	5.32.77.82	immunologic_course
allergic & immunologic	5.34.79.103.66	immunologic_family_history
allergic & immunologic	13.51.157.297	immunologic_plan
allergic & immunologic	5.39.125	immunologic_review
allergic disorder history	5.38	allergies_and_adverse_reactions
allergic immunologic	5.32.77.82	immunologic_course
allergic immunologic	5.34.79.103.66	immunologic_family_history
allergic immunologic	13.51.157.297	immunologic_plan
allergic immunologic	5.39.125	immunologic_review
allergies	5.38	allergies_and_adverse_reactions
allergies	5.32.77.83	allergies_course
allergies	5.34.79.103.67	allergies_family_history
allergies	5.39.127	allergy_review
allergies and adverse reactions	5.38	allergies_and_adverse_reactions
allergies course	5.32.77.83	allergies_course
allergies family history	5.34.79.103.67	allergies_family_history
